=== LSOF FOR ALL MODEM PROCESSES ===
==============================================
--- LSOF for time_daemon (PID 242) ---
==============================================
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
rild        197      radio   38       ???                ???       ???        ??? socket:[7757]
rild        197      radio   39       ???                ???       ???        ??? socket:[10108]
rild        197      radio   40       ???                ???       ???        ??? socket:[10490]
surfacefl   198     system  exe       ???                ???       ???        ??? /system/bin/surfaceflinger
surfacefl   198     system    0       ???                ???       ???        ??? /dev/null
surfacefl   198     system    1       ???                ???       ???        ??? /dev/null
surfacefl   198     system    2       ???                ???       ???        ??? /dev/null
surfacefl   198     system    3       ???                ???       ???        ??? /dev/binder
surfacefl   198     system    4       ???                ???       ???        ??? /dev/cpuctl/apps/tasks
surfacefl   198     system    5       ???                ???       ???        ??? /dev/cpuctl/apps/bg_non_interactive/tasks
surfacefl   198     system    6       ???                ???       ???        ??? /dev/log/main
surfacefl   198     system    7       ???                ???       ???        ??? /dev/log/radio
surfacefl   198     system    8       ???                ???       ???        ??? /dev/__properties__
surfacefl   198     system    9       ???                ???       ???        ??? /dev/log/events
surfacefl   198     system   10       ???                ???       ???        ??? /dev/log/system
surfacefl   198     system   11       ???                ???       ???        ??? pipe:[7377]
surfacefl   198     system   12       ???                ???       ???        ??? pipe:[7377]
surfacefl   198     system   13       ???                ???       ???        ??? anon_inode:[eventpoll]
surfacefl   198     system   14       ???                ???       ???        ??? /dev/kgsl-3d0
surfacefl   198     system   15       ???                ???       ???        ??? /dev/ion
surfacefl   198     system   16       ???                ???       ???        ??? /dev/graphics/fb0
surfacefl   198     system   17       ???                ???       ???        ??? /sys/devices/virtual/graphics/fb0/idle_notify
surfacefl   198     system   18       ???                ???       ???        ??? /dev/log/main
surfacefl   198     system   19       ???                ???       ???        ??? /dev/log/radio
surfacefl   198     system   20       ???                ???       ???        ??? /dev/log/events
surfacefl   198     system   21       ???                ???       ???        ??? /dev/log/system
surfacefl   198     system   22       ???                ???       ???        ??? socket:[6715]
surfacefl   198     system   23       ???                ???       ???        ??? /sys/devices/virtual/graphics/fb0/vsync_event
surfacefl   198     system   24       ???                ???       ???        ??? /sys/devices/virtual/graphics/fb0/show_blank_event
